Unique_client_ID,y_proba,Race/Ethnicity,SPA,Gender,Age_group_at_assessment,Intervention,InterventionYear,AssessmentYear,TOTAL_SCORE,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE
125,0.509642074,White,2,Male,60+,"Currently active in ""Street Outreach"" program",,2017,6,1,1,1,2
20903,0.175464481,Black,6,Female,18-24,Exited to an institutional destination,2014,2017,10,2,2,3,3
9988,0.143068342,Latino,4,Male,45-59,"Currently active in ""Emergency Shelter"" program",,2022,9,2,2,2,3
27259,0.200523975,Latino,2,Male,45-59,Permanently Housed,,2016,6,2,1,3,0
973,0.217753087,Black,8,Female,45-59,Exited to an other or unknown destination,2021,2020,9,2,2,2,3
26936,0.076578623,Black,4,Male,25-44,"Currently active in ""Street Outreach"" program",,2016,12,2,3,3,4
5836,0.34498391,Black,6,Female,25-44,Permanently Housed,,2018,5,2,1,0,2
12609,0.052775542,White,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2020,2019,14,2,3,4,5
145,0.087920014,White,2,Male,60+,Exited to a place not meant for habitation,2021,2019,11,2,3,3,2
4646,0.273480684,Latino,6,Male,60+,"Matched to Permanent Housing, Not Yet Housed",,2019,10,1,4,1,3
153,0.897307597,Black,4,Male,60+,Permanently Housed,2020,2016,2,0,0,1,0
12105,0.196134079,Latino,2,Male,60+,Exited to a place not meant for habitation,2020,2020,7,2,1,2,1
12556,0.495256372,Black,1,Female,18-24,Exited to a place not meant for habitation,2019,2019,7,1,2,3,1
171,0.080857038,Black,2,Male,45-59,Exited to an other or unknown destination,2022,2018,14,2,2,4,6
172,0.293682581,White,2,Male,45-59,Exited to an other or unknown destination,2018,2017,5,2,1,1,1
6812,0.166624688,Black,4,Female,25-44,Exited to an other or unknown destination,2019,2019,8,2,4,1,1
178,0.639803278,Black,4,Female,25-44,Exited to an other or unknown destination,2014,2017,4,1,0,1,2
2508,0.691470013,White,2,Male,18-24,"Currently active in ""Coordinated Entry"" program",,2022,2,1,0,1,0
1638,0.495248086,Black,6,Female,25-44,Permanently Housed,2019,2018,6,1,0,3,2
2327,0.246476915,Black,4,Male,45-59,Exited to an other or unknown destination,2018,2018,7,2,2,2,1
190,0.058542991,Black,6,Male,25-44,Exited to an other or unknown destination,2021,2017,14,2,3,3,6
192,0.465287713,White,2,Male,60+,Exited to an other or unknown destination,2018,2018,6,1,0,3,1
20638,0.162239241,Black,3,Female,18-24,Permanently Housed,,2018,11,2,4,1,4
199,0.069737482,White,3,Male,45-59,"Currently active in ""Street Outreach"" program",,2019,13,2,3,3,5
203,0.284845061,Black,8,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",2022,2021,5,2,1,1,1
6626,0.711754719,Latino,4,Male,18-24,Permanently Housed,,2020,2,1,0,0,1
210,0.198146062,Black,6,Female,45-59,Exited to an other or unknown destination,2019,2017,10,2,3,1,4
212,0.676082827,Black,6,Male,25-44,Exited to a place not meant for habitation,2018,2016,2,1,0,1,0
8040,0.115995949,White,4,Male,45-59,Permanently Housed,2022,2019,10,2,2,3,3
217,0.477328689,Black,1,Female,60+,Permanently Housed,2019,2018,9,1,1,2,4
21433,0.073952386,Latino,2,Male,45-59,Exited to a temporary destination,2019,2017,12,2,2,4,4
305,0.054512762,Latino,5,Female,60+,Exited to an other or unknown destination,2022,2021,14,2,3,4,4
14585,0.06429337,Black,5,Male,45-59,Permanently Housed,2022,2018,15,2,4,3,6
233,0.046732251,White,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2021,14,2,4,4,4
7017,0.26997266,Latino,6,Male,60+,Exited to an other or unknown destination,2018,2018,5,2,0,2,0
16877,0.441902885,Latino,4,Male,18-24,Exited to an other or unknown destination,2020,2016,6,1,2,2,1
14920,0.886081134,Black,4,Male,45-59,Exited to an other or unknown destination,2020,2020,2,0,0,2,0
12391,0.101832102,Black,4,Male,25-44,Exited to an other or unknown destination,2015,2020,10,2,4,2,2
242,0.414521932,Black,4,Male,60+,Exited to an other or unknown destination,2016,2016,9,1,2,2,3
244,0.120028699,Latino,4,Female,45-59,Exited to a place not meant for habitation,2021,2020,15,1,4,4,6
26146,0.073159553,Latino,4,Male,60+,Exited to an other or unknown destination,2019,2019,12,2,3,3,3
249,0.282640025,White,2,Female,60+,Permanently Housed,2022,2021,6,2,1,1,1
251,0.123257037,White,4,Male,25-44,"Currently active in ""Services Only"" program",,2019,8,2,2,2,2
256,0.193063258,Black,4,Male,45-59,"Currently active in ""Emergency Shelter"" program",,2021,9,2,1,3,3
9613,0.082052396,Black,4,Male,45-59,Exited to a place not meant for habitation,2018,2018,13,2,3,4,4
258,0.660800452,Black,8,Male,45-59,Exited to a temporary destination,2021,2021,4,1,0,2,1
26874,0.692282754,Black,6,Male,45-59,Exited to an other or unknown destination,2017,2017,3,1,0,2,0
17140,0.10852549,White,4,Male,25-44,Exited to an other or unknown destination,2016,2016,9,2,2,2,3
268,0.508782121,Latino,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2021,5,1,2,1,1
270,0.062930604,Black,4,Female,18-24,Permanently Housed,,2018,15,2,3,5,5
277,0.38973186,Black,6,Male,60+,Exited to an other or unknown destination,2017,2016,9,1,4,1,2
11853,0.477633392,Latino,2,Male,25-44,Exited to an other or unknown destination,2015,2020,4,1,0,2,1
281,0.295170065,Black,4,Male,45-59,Exited to an other or unknown destination,2020,2017,6,2,0,3,1
14359,0.084626389,Black,4,Male,45-59,Permanently Housed,,2018,14,2,4,2,6
289,0.082722182,Black,,Male,45-59,"Currently active in ""Street Outreach"" program",,2016,14,2,3,3,6
290,0.24301084,Black,4,Male,60+,Permanently Housed,2021,2021,9,2,2,0,4
291,0.090888914,White,7,Male,45-59,"Currently active in ""Services Only"" program",,2019,11,2,3,3,3
22971,0.04923115,Latino,3,Female,45-59,Permanently Housed,2014,2016,15,2,3,4,6
22166,0.835029235,Latino,6,Female,60+,Exited to an other or unknown destination,2017,2016,4,0,0,1,2
17089,0.063762426,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2020,14,2,4,4,4
306,0.113985245,White,,Male,45-59,Exited to an other or unknown destination,2020,2016,12,2,1,4,4
317,0.568994789,Black,4,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",2021,2021,5,1,0,2,2
10325,0.280252998,White,3,Male,45-59,Permanently Housed,2016,2018,9,1,2,4,2
323,0.192846682,Black,4,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2020,2017,9,2,2,3,2
325,0.177502023,Black,6,Male,45-59,Exited to an other or unknown destination,2018,2018,9,2,3,2,2
326,0.17268616,Black,2,Female,45-59,Exited to an other or unknown destination,2022,2019,11,2,2,2,5
329,0.327616283,Black,6,Female,45-59,Permanently Housed,,2017,6,2,1,2,1
333,0.048586419,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2019,16,2,4,4,6
335,0.079674409,White,2,Male,45-59,Exited to an other or unknown destination,2021,2021,12,2,3,3,4
341,0.048586419,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2022,16,2,4,4,6
7205,0.065652223,Latino,7,Male,45-59,Exited to a place not meant for habitation,2018,2018,12,2,3,4,3
350,0.023407927,Latino,3,Male,25-44,Permanently Housed,,2019,16,2,4,4,6
365,0.322474316,Black,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2022,9,1,3,4,1
367,0.072914697,Black,4,Male,45-59,Exited to an other or unknown destination,2022,2017,13,2,4,4,3
375,0.170169331,Black,4,Female,45-59,Exited to an other or unknown destination,2018,2016,9,2,2,4,1
24967,0.140749192,Black,4,Male,25-44,Permanently Housed,,2017,14,1,4,3,6
381,0.243265536,Black,7,Female,45-59,Exited to an other or unknown destination,2020,2017,8,2,2,2,2
17064,0.434207738,Black,4,Male,25-44,Permanently Housed,2018,2018,7,1,1,2,3
388,0.124032907,Black,4,Male,25-44,Exited to an other or unknown destination,2022,2018,9,2,1,4,2
391,0.9423436,Black,,Male,45-59,Exited to an other or unknown destination,2019,2016,1,0,0,0,0
23918,0.215595542,Latino,5,Male,60+,Exited to an other or unknown destination,2019,2016,6,2,0,3,0
3984,0.166926991,White,4,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2017,2017,9,2,2,2,3
403,0.29927479,Black,6,Female,25-44,"Currently active in ""Services Only"" program",,2020,10,1,2,3,4
3518,0.039075517,Black,2,Male,25-44,Exited to an institutional destination,2017,2016,15,2,4,4,5
408,0.320618302,Black,4,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",,2020,11,1,3,3,4
23513,0.166817902,Black,8,Male,25-44,Exited to an other or unknown destination,2014,2018,8,2,3,1,2
27747,0.038428586,Black,5,Female,25-44,"Currently active in ""Services Only"" program",,2021,16,2,4,4,6
431,0.204876061,Black,6,Female,60+,"Currently active in ""Services Only"" program",,2018,10,2,0,3,4
5249,0.058542991,Black,8,Male,25-44,Exited to an other or unknown destination,2020,2018,14,2,3,3,6
436,0.09296206,White,5,Male,45-59,Exited to an other or unknown destination,2020,2017,11,2,4,2,3
437,0.059318648,White,4,Female,60+,Exited to an institutional destination,2019,2019,15,2,4,2,6
7853,0.229728614,Black,6,Female,25-44,Permanently Housed,2020,2016,7,2,2,1,2
9804,0.03545607,White,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2020,2018,16,2,4,4,6
449,0.1669341,Black,4,Female,45-59,Exited to a temporary destination,2022,2019,15,1,4,4,6
25370,0.07934695,Black,3,Male,60+,Permanently Housed,2021,2020,13,2,3,4,3
1109,0.333419619,Black,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2022,6,2,1,1,2
456,0.137085758,Latino,5,Male,45-59,Permanently Housed,2018,2018,9,2,0,4,3
458,0.453197086,Black,,Female,18-24,Assessed Only,,2016,8,1,1,4,2
460,0.117361049,Black,4,Male,60+,Permanently Housed,2022,2019,13,2,2,2,6
465,0.169973976,Black,4,Male,60+,Permanently Housed,2019,2018,10,2,2,2,3
466,0.189484311,White,6,Male,45-59,Permanently Housed,2022,2018,9,2,1,1,5
469,0.052196947,White,6,Male,60+,"Matched to Permanent Housing, Not Yet Housed",2022,2021,14,2,4,3,4
1922,0.134456126,White,2,Male,45-59,Permanently Housed,2017,2017,9,2,3,2,2
478,0.573338035,Black,5,Female,45-59,Exited to an other or unknown destination,2016,2016,4,2,0,0,1
479,0.22072591,Black,4,Male,45-59,Exited to an other or unknown destination,2020,2017,8,2,2,2,2
485,0.169363341,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2022,2016,14,1,4,4,5
486,0.06429337,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2022,2020,15,2,4,3,6
12955,0.046157316,Black,4,Female,60+,Permanently Housed,2022,2019,17,2,4,4,6
21772,0.243521651,Black,5,Male,45-59,Exited to an other or unknown destination,2022,2022,8,2,1,2,3
2211,0.751676268,Black,6,Male,45-59,Exited to an other or unknown destination,2019,2016,2,1,0,1,0
491,0.60064237,Black,4,Male,60+,Permanently Housed,2015,2017,5,1,3,0,0
3734,0.134456126,White,2,Male,45-59,Exited to a place not meant for habitation,2016,2017,9,2,3,2,2
7895,0.077426973,Latino,3,Male,45-59,Exited to a temporary destination,2021,2021,12,2,4,2,4
11268,0.433689806,Latino,8,Female,25-44,Exited to an other or unknown destination,2014,2019,10,0,3,3,4
14614,0.034014907,Black,6,Male,25-44,Exited to an other or unknown destination,2022,2017,16,2,4,4,6
19213,0.099582862,Black,6,Male,25-44,Exited to a temporary destination,2022,2016,10,2,3,3,2
16374,0.22072591,Black,2,Male,45-59,Exited to a temporary destination,2018,2016,8,2,2,2,2
510,0.533754879,Black,6,Male,18-24,Exited to an other or unknown destination,2018,2016,7,1,1,2,3
3045,0.084194504,White,8,Male,25-44,"Currently active in ""Services Only"" program",,2017,9,2,3,3,1
512,0.058225068,Latino,4,Male,45-59,Exited to an other or unknown destination,2021,2021,12,2,4,4,2
516,0.254386331,White,2,Female,60+,Permanently Housed,2019,2018,7,2,1,1,2
10312,0.410300934,White,5,Female,60+,"Matched to Permanent Housing, Not Yet Housed",2016,2017,4,2,0,0,1
1166,0.529424053,Black,1,Female,25-44,Permanently Housed,2019,2019,10,0,3,3,4
529,0.211604717,Black,5,Female,60+,Exited to an other or unknown destination,2022,2019,9,2,2,2,2
538,0.637758998,Black,4,Female,25-44,Exited to a temporary destination,2020,2019,3,1,0,2,0
15427,0.36614075,Black,5,Male,45-59,Permanently Housed,2016,2016,5,2,1,1,1
540,0.285004931,White,5,Female,45-59,"Currently active in ""Coordinated Entry"" program",,2021,6,2,0,2,2
18086,0.217867749,Latino,4,Male,45-59,Permanently Housed,2017,2017,12,1,2,3,6
544,0.406929118,Black,6,Male,18-24,Exited to an other or unknown destination,2017,2017,4,2,1,1,0
8520,0.051875442,Black,4,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",,2019,14,2,4,3,5
547,0.260770842,Black,6,Male,60+,Permanently Housed,,2018,8,2,0,2,3
22144,0.048586419,Black,6,Male,45-59,Permanently Housed,2021,2020,16,2,4,4,6
7148,0.1577069,Black,6,Female,25-44,Exited to an other or unknown destination,2022,2021,9,2,1,3,3
557,0.264470195,Black,4,Female,45-59,Permanently Housed,,2021,9,2,0,2,5
19676,0.765788026,Latino,8,Male,25-44,Exited to an other or unknown destination,2020,2020,4,0,1,0,3
561,0.379036882,White,5,Male,45-59,Permanently Housed,2020,2018,8,1,2,2,3
9492,0.12533561,Latino,4,Male,45-59,Exited to an other or unknown destination,2019,2017,9,2,2,3,2
562,0.594670205,Black,6,Male,60+,Permanently Housed,,2019,5,1,2,1,0
6915,0.071749358,Black,6,Female,45-59,"Currently active in ""Emergency Shelter"" program",,2021,14,2,4,4,4
569,0.604230751,Black,2,Male,18-24,Permanently Housed,2018,2017,5,1,1,2,1
571,0.179534626,Latino,8,Female,45-59,Permanently Housed,,2018,8,2,2,2,2
22685,0.883264165,Black,4,Male,60+,Permanently Housed,2017,2017,3,0,0,1,1
574,0.396734962,Asian,4,Male,25-44,Exited to an other or unknown destination,2020,2020,5,1,3,1,0
24917,0.096008833,Latino,7,Male,60+,Exited to a temporary destination,2014,2016,11,2,3,2,3
1467,0.094601548,White,4,Male,25-44,Exited to a permanent destination,2019,2018,9,2,2,3,2
585,0.207490977,Black,4,Female,60+,Exited to an other or unknown destination,2020,2019,9,2,1,3,2
586,0.141442197,Black,8,Female,25-44,Exited to a temporary destination,2021,2018,9,2,2,3,2
588,0.417348333,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2022,2017,9,1,1,3,4
6436,0.502573892,Latino,7,Male,45-59,Permanently Housed,2018,2017,5,1,1,2,1
590,0.082052396,Black,4,Male,45-59,Exited to an other or unknown destination,2019,2018,13,2,3,4,4
592,0.343298118,Black,4,Male,25-44,Exited to an other or unknown destination,2022,2020,4,2,0,1,1
9046,0.311487917,White,5,Male,60+,Exited to an institutional destination,2015,2017,10,1,3,1,4
3409,0.798794606,Latino,4,Male,45-59,"Currently active in ""Street Outreach"" program",,2017,4,0,0,2,2
4005,0.057355143,Latino,4,Male,45-59,Permanently Housed,,2021,13,2,3,4,4
8497,0.120789851,Black,4,Male,45-59,Exited to an other or unknown destination,2017,2016,14,2,2,3,6
14604,0.199501293,Black,4,Male,45-59,Permanently Housed,2019,2016,8,2,3,2,1
5885,0.383841173,Black,,Male,60+,Permanently Housed,2017,2016,9,1,3,2,2
2833,0.120458789,Black,6,Female,18-24,"Currently active in ""Services Only"" program",,2022,12,2,2,4,4
620,0.241761642,Latino,4,Male,45-59,Exited to an other or unknown destination,2016,2019,10,1,2,4,3
622,0.05212195,Latino,7,Female,25-44,Exited to an other or unknown destination,2022,2022,12,2,3,4,3
3239,0.193063258,Black,4,Male,45-59,Exited to an institutional destination,2018,2018,9,2,1,3,3
625,0.284845061,Black,6,Male,25-44,Permanently Housed,2018,2017,5,2,1,1,1
626,0.033657174,Latino,,Female,18-24,Exited to an other or unknown destination,2019,2022,16,2,4,5,5
22488,0.084880159,White,4,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",,2022,10,2,3,2,3
627,0.410608833,Latino,7,Male,25-44,Exited to an institutional destination,2018,2017,5,1,1,2,1
13762,0.41701018,Black,5,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2021,2018,9,1,2,3,3
633,0.753067788,Black,4,Female,45-59,Exited to an other or unknown destination,2016,2016,3,1,1,0,1
15759,0.139678957,White,3,Male,18-24,Permanently Housed,2016,2016,8,2,4,2,0
26544,0.066999692,Black,4,Male,25-44,"Currently active in ""Street Outreach"" program",,2022,13,2,3,3,5
639,0.465045703,Black,4,Male,45-59,Permanently Housed,2019,2019,8,1,3,1,3
10022,0.118880425,Black,8,Female,60+,Exited to an other or unknown destination,2021,2018,12,2,4,2,3
13834,0.180336037,Black,8,Male,25-44,Permanently Housed,2020,2020,7,2,1,3,1
647,0.090888914,White,4,Male,45-59,Exited to a place not meant for habitation,2022,2018,11,2,3,3,3
5206,0.153509637,Black,6,Female,25-44,Exited to an other or unknown destination,2021,2019,14,1,3,4,6
19799,0.481663239,Black,4,Male,60+,Exited to an other or unknown destination,2019,2021,8,1,1,2,3
25077,0.22072591,Black,3,Male,45-59,Permanently Housed,,2017,8,2,2,2,2
15110,0.78351048,Black,5,Male,60+,Permanently Housed,2020,2017,6,0,0,3,2
657,0.097527384,White,2,Male,25-44,Exited to a place not meant for habitation,2019,2017,10,2,3,1,4
13123,0.284845061,Black,4,Male,25-44,Exited to an other or unknown destination,2019,2018,5,2,1,1,1
663,0.136331443,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2018,11,2,2,3,4
1571,0.237433073,Black,4,Female,45-59,"Currently active in ""Services Only"" program",,2019,13,1,4,3,5
26940,0.308199637,Black,1,Male,25-44,"Matched to Permanent Housing, Not Yet Housed",,2020,9,1,3,2,3
14741,0.123257037,White,4,Male,25-44,Permanently Housed,,2017,8,2,2,2,2
7766,0.171006283,Latino,4,Female,25-44,Exited to an other or unknown destination,2013,2016,6,2,3,1,0
18076,0.177783096,Black,4,Female,25-44,Exited to an other or unknown destination,2022,2019,8,2,1,3,2
677,0.02977723,White,2,Male,60+,Permanently Housed,,2018,17,2,4,4,6
684,0.02977723,White,4,Male,60+,"Matched to Permanent Housing, Not Yet Housed",2022,2017,17,2,4,4,6
689,0.306319236,Black,4,Male,18-24,"Currently active in ""Street Outreach"" program",,2022,6,2,1,2,1
14408,0.243265536,Black,4,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",2017,2017,8,2,2,2,2
691,0.382474111,White,2,Female,45-59,"Matched to Permanent Housing, Not Yet Housed",,2021,4,2,0,1,1
10427,0.117361049,Black,4,Male,60+,Exited to an other or unknown destination,2016,2016,13,2,2,2,6
18819,0.414690055,White,7,Male,45-59,Exited to a temporary destination,2016,2016,9,1,2,2,3
8259,0.075814899,White,4,Female,60+,"Matched to Permanent Housing, Not Yet Housed",2021,2021,13,2,3,3,4
699,0.044854066,Black,6,Male,25-44,"Currently active in ""Coordinated Entry"" program",,2021,14,2,4,4,4
4503,0.142405294,White,2,Male,60+,Exited to a place not meant for habitation,2021,2019,9,2,1,3,2
701,0.293693185,Black,4,Male,45-59,Assessed Only,,2017,11,1,3,3,4
23733,0.467492625,White,3,Male,60+,Permanently Housed,2022,2021,7,1,0,2,3
702,0.436043532,Black,6,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",2022,2020,8,1,2,1,4
705,0.694871823,Black,6,Male,25-44,Exited to an other or unknown destination,2019,2019,6,0,1,3,2
708,0.621027444,Black,6,Female,60+,Permanently Housed,2021,2020,6,1,1,1,2
717,0.062395079,White,2,Male,45-59,Exited to an other or unknown destination,2018,2018,14,2,4,2,6
724,0.229780305,Asian,4,Male,45-59,Permanently Housed,,2019,6,2,0,3,1
731,0.191958129,Black,4,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",2020,2016,14,1,4,3,6
17937,0.115698808,Latino,7,Male,25-44,Exited to an other or unknown destination,2019,2017,9,2,1,2,4
23492,0.072655171,White,4,Male,25-44,Exited to a permanent destination,2020,2017,11,2,2,3,4
12106,0.11802556,Latino,2,Male,60+,Permanently Housed,2022,2020,14,1,4,4,4
22071,0.850330451,Black,8,Female,45-59,Permanently Housed,2016,2016,4,0,0,3,1
10090,0.087920014,White,8,Male,60+,Permanently Housed,2019,2018,11,2,3,3,2
8395,0.698310654,Latino,8,Male,60+,Exited to an other or unknown destination,2020,2020,2,1,0,0,0
18080,0.610146513,Black,6,Male,25-44,"Currently active in ""PH - Rapid Re-Housing"" program",,2019,4,1,0,1,2
1704,0.900619911,Black,8,Male,45-59,Exited to an other or unknown destination,2018,2017,2,0,0,1,1
763,0.882366481,Latino,,Female,25-44,Exited to a temporary destination,2016,2016,0,0,0,0,0
13936,0.661192697,Black,6,Male,45-59,"Matched to Permanent Housing, Not Yet Housed",,2016,10,0,3,1,6
5815,0.605548049,Black,6,Male,45-59,Exited to an other or unknown destination,2017,2017,6,1,2,0,3
768,0.12139792,Black,6,Female,25-44,Exited to an other or unknown destination,2020,2019,15,1,4,4,6
774,0.076480334,Black,4,Female,25-44,"Currently active in ""Transitional Housing"" program",,2022,12,2,4,3,3
775,0.111663389,Black,4,Male,18-24,"Currently active in ""Emergency Shelter"" program",,2022,11,2,4,3,2
28701,0.053579955,White,1,Male,45-59,Permanently Housed,,2018,13,2,4,4,3
778,0.08063849,Latino,3,Male,25-44,Assessed Only,,2017,10,2,3,2,3
9160,0.108398396,Black,5,Female,18-24,Permanently Housed,,2021,13,2,3,3,5
779,0.688570696,Black,2,Female,45-59,Permanently Housed,2018,2018,4,1,0,2,1
781,0.611695737,White,2,Male,60+,Exited to a place not meant for habitation,2018,2017,4,1,0,1,1
21684,0.157896139,Black,4,Male,18-24,Exited to an other or unknown destination,2019,2017,10,2,2,3,3
1107,0.379742005,Black,4,Female,60+,Exited to an other or unknown destination,2015,2018,10,1,3,2,3
21496,0.075671372,Latino,7,Male,45-59,Permanently Housed,,2017,12,2,3,3,4
786,0.026483006,Latino,6,Female,25-44,"Matched to Permanent Housing, Not Yet Housed",2022,2021,16,2,4,4,6
793,0.589091785,Black,5,Male,60+,Permanently Housed,2022,2017,8,1,0,0,6
6520,0.241384754,Black,7,Male,60+,Permanently Housed,,2018,8,2,2,1,2
798,0.562420314,Black,4,Male,45-59,Exited to an other or unknown destination,2016,2016,6,1,1,2,2
23649,0.753689833,Black,4,Female,18-24,Permanently Housed,2019,2016,3,1,0,1,1
